epoch,epoch_from_1,patchedCifar10(no denfence)Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.02_TLr0.2_AttackNum200_EC0_SE1801_AllLayer1 - benign test acc (after fedavg),poisonedCifar10(no defence)_Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.003_TLr0.2_AttackNum250_EC0_SE1801_AllLayer1 - benign test acc (after fedavg),cleanCifar10_pretraining1800(续训比较CAD)续前一个Local_backdoor_cv_cifar10_resnet_snorm1_without_attack_Lr0.001_TLr0.2_EC0_SE2000_noniid_0.9 - benign test acc (after fedavg),,
2326,525,86.93,86.87,87.29,,
2327,526,87.29,86.61,87.44,,
2328,527,87.1,86.85,87.26,,
2329,528,86.96,87.07,87.38,,
2330,529,87.16,86.98,87.25,,
2331,530,87.16,86.63,87.32,,
2332,531,86.96,86.82,87.16,,
2333,532,86.99,86.88,87.43,,
2334,533,87.16,86.87,87.27,,
2335,534,86.91,87.09,87.31,,
2336,535,86.95,87.06,87.42,,
2337,536,87.14,87.02,87.41,,
2338,537,87.12,86.86,87.31,,
2339,538,87.22,86.84,87.28,,
2340,539,87.12,86.94,87.44,,
2341,540,87.15,86.85,87.26,,
2342,541,87.19,86.87,87.38,,
2343,542,87.28,86.91,87.25,,
2344,543,87.23,86.88,87.29,,
2345,544,87.15,86.9,87.44,,
2346,545,87.17,86.95,87.26,,
2347,546,87.12,86.88,87.43,,
2348,547,86.87,86.9,87.27,,
2349,548,87.19,87.01,87.31,,
2350,549,87.2,87.03,87.42,,
2351,550,87.12,87,87.41,,
2352,551,87.18,87.02,87.31,,
2353,552,87.03,86.92,87.43,,
2354,553,86.88,86.99,87.39,,
2355,554,87.04,86.99,87.52,,
2356,555,87.32,86.91,87.36,,
2357,556,87.24,86.76,87.64,,
2358,557,87.15,86.91,87.41,,
2359,558,87.08,86.97,87.42,,
2360,559,87.06,86.95,87.38,,
2361,560,87.02,86.8,87.36,,
2362,561,87.1,86.55,87.36,,
2363,562,87.24,86.92,87.50,,
2364,563,86.99,86.9,87.05,,
2365,564,87.21,86.95,87.22,,
2366,565,86.9,86.76,87.53,,
2367,566,87.08,86.83,87.61,,
2368,567,87.01,86.85,87.1,,
2369,568,87.08,86.79,87.69,,
2370,569,87.3,87.02,87,,
2371,570,87.23,86.91,87.77,,
2372,571,87.28,86.99,87.59,,
2373,572,87.09,87.18,88,,
2374,573,87.1,87.03,87.75,,
2375,574,86.93,86.49,87.02,,
2376,575,87.25,87.01,87.6,,
2377,576,87.09,87.07,87.46,,
2378,577,87.23,86.92,87.25,,
2379,578,87.33,86.99,87.39,,
2380,579,87.16,86.84,87.32,,
2381,580,87.29,86.79,87.32,,
2382,581,87.24,86.98,87.06,,
2383,582,86.98,86.96,87.28,,
2384,583,86.86,87.14,87.63,,
2385,584,87.16,86.92,87.52,,
2386,585,87.08,86.9,87.98,,
2387,586,87.08,86.77,87.38,,
2388,587,86.94,86.96,87.53,,
2389,588,87.04,86.96,87.86,,
2390,589,87.07,86.89,87.83,,
2391,590,87.2,87.1,87.56,,
2392,591,87.07,87.05,87.82,,
2393,592,87.19,87.06,87.35,,
2394,593,87.37,87.08,87.95,,
2395,594,87.04,86.87,87.61,,
2396,595,87.12,86.86,87.47,,
2397,596,87.31,87.02,87.04,,
2398,597,87.24,86.81,87.42,,
2399,598,87.2,86.88,87.49,,
2400,599,87.14,86.94,87.38,,
2401,600,87.35,86.93,87.04,,
2402,601,87.06,86.98,87.33,,
2403,602,87.21,86.81,87.78,,
2404,603,87.18,86.91,87.35,,
2405,604,87.14,86.96,87.13,,
2406,605,87.27,86.87,87.06,,
2407,606,87.1,86.86,87.64,,
2408,607,87.28,86.89,87.72,,
2409,608,87.16,87.16,87.8,,
2410,609,87.18,86.96,87.89,,
2411,610,87.28,87.07,87.94,,
2412,611,87.08,87.08,87.54,,
2413,612,87.32,86.87,87.16,,
2414,613,87.25,87.04,87.06,,
2415,614,87.36,87.18,87.01,,
2416,615,87.01,86.93,87.79,,
2417,616,87.13,87.09,87.03,,
2418,617,87.07,87.14,87.06,,
2419,618,87.27,86.71,87.18,,
2420,619,87.22,86.82,87.49,,
2421,620,87.32,86.97,87.02,,
2422,621,87.17,86.72,87.74,,
2423,622,87.01,87.1,87.59,,
2424,623,87.12,87.04,87.31,,
2425,624,87.17,87.07,87.76,,
2426,625,87.27,86.94,87.18,,
2427,626,87.14,87.06,87.73,,
2428,627,87.14,86.96,87.3,,
2429,628,87.28,86.94,87.71,,
