epoch,poisonedCifar10(no defence)_Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.003_TLr0.2_AttackNum250_EC0_SE1801_AllLayer1 - _step,patchedCifar10(no denfence)Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.02_TLr0.2_AttackNum200_EC0_SE1801_AllLayer1 - test poison acc (after fedavg),poisonedCifar10(no defence)_Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.003_TLr0.2_AttackNum250_EC0_SE1801_AllLayer1 - test poison acc (after fedavg)
2103,303,84.17969 ,97.85156 
2104,304,84.17969 ,97.85156 
2105,305,86.13281 ,98.04688 
2106,306,85.54688 ,98.24219 
2107,307,85.93750 ,98.63281 
2108,308,86.13281 ,98.63281 
2109,309,85.74219 ,98.82813 
2110,310,85.74219 ,98.63281 
2111,311,86.32813 ,97.85156 
2112,312,83.78906 ,98.63281 
2113,313,85.54688 ,99.02344 
2114,314,84.96094 ,97.85156 
2115,315,84.37500 ,97.46094 
2116,316,79.88281 ,98.43750 
2117,317,84.96094 ,98.82813 
2118,318,85.35156 ,98.04688 
2119,319,84.96094 ,97.85156 
2120,320,87.10938 ,98.04688 
2121,321,85.54688 ,96.09375 
2122,322,83.20313 ,96.67969 
2123,323,83.39844 ,98.24219 
2124,324,83.78906 ,97.26563 
2125,325,85.74219 ,97.85156 
2126,326,85.15625 ,97.65625 
2127,327,85.54688 ,96.48438 
2128,328,85.15625 ,96.48438 
2129,329,81.44531 ,95.70313 
2130,330,83.78906 ,95.11719 
2131,331,82.61719 ,93.16406 
2132,332,84.17969 ,93.35938 
2133,333,83.78906 ,95.11719 
2134,334,84.96094 ,95.70313 
2135,335,86.52344 ,97.85156 
2136,336,85.15625 ,96.28906 
2137,337,83.39844 ,96.67969 
2138,338,82.81250 ,96.48438 
2139,339,82.22656 ,95.89844 
2140,340,81.05469 ,97.46094 
2141,341,83.20313 ,96.48438 
2142,342,84.37500 ,98.24219 
2143,343,82.22656 ,96.09375 
2144,344,80.66406 ,96.48438 
2145,345,82.03125 ,95.11719 
2146,346,82.03125 ,96.09375 
2147,347,82.61719 ,96.67969 
2148,348,84.96094 ,91.99219 
2149,349,83.39844 ,95.70313 
2150,350,85.54688 ,95.70313 
2151,351,85.35156 ,97.26563 
2152,352,83.78906 ,95.89844 
2153,353,82.22656 ,93.94531 
2154,354,82.42188 ,94.33594 
2155,355,82.22656 ,96.28906 
2156,356,84.76563 ,93.94531 
2157,357,84.76563 ,95.31250 
2158,358,83.78906 ,94.92188 
2159,359,83.98438 ,96.67969 
2160,360,83.98438 ,96.67969 
2161,361,84.96094 ,92.96875 
2162,362,82.81250 ,92.96875 
2163,363,80.85938 ,95.50781 
2164,364,84.76563 ,95.31250 
2165,365,84.37500 ,96.28906 
2166,366,85.15625 ,94.53125 
2167,367,83.98438 ,93.55469 
2168,368,83.20313 ,96.28906 
2169,369,81.83594 ,96.67969 
2170,370,82.81250 ,95.50781 
2171,371,80.66406 ,97.46094 
2172,372,82.42188 ,95.89844 
2173,373,82.03125 ,96.67969 
2174,374,79.68750 ,93.16406 
2175,375,82.03125 ,92.96875 
2176,376,83.39844 ,92.96875 
2177,377,81.83594 ,95.70313 
2178,378,83.39844 ,93.75000 
2179,379,83.20313 ,93.75000 
2180,380,81.25000 ,94.53125 
2181,381,83.20313 ,93.94531 
2182,382,84.57031 ,91.79688 
2183,383,81.83594 ,92.96875 
2184,384,81.05469 ,91.01563 
2185,385,81.83594 ,92.18750 
2186,386,84.57031 ,92.77344 
2187,387,83.98438 ,96.48438 
2188,388,83.39844 ,95.31250 
2189,389,83.00781 ,94.14063 
2190,390,83.00781 ,91.21094 
2191,391,81.05469 ,92.18750 
2192,392,83.98438 ,93.94531 
2193,393,85.54688 ,95.11719 
2194,394,83.00781 ,96.48438 
2195,395,78.71094 ,95.31250 
2196,396,82.81250 ,93.35938 
2197,397,84.57031 ,90.42969 
2198,398,83.59375 ,93.94531 
2199,399,83.78906 ,92.38281 
2200,400,82.61719 ,92.18750 
2201,401,78.71094 ,95.11719 
2202,402,81.64063 ,93.55469 
2203,403,79.49219 ,93.35938 
2204,404,81.83594 ,93.75000 
2205,405,82.42188 ,93.35938 
2206,406,82.61719 ,93.35938 
2207,407,81.05469 ,91.60156 
2208,408,82.22656 ,90.82031 
2209,409,80.07813 ,90.23438 
2210,410,78.90625 ,91.21094 
2211,411,77.92969 ,93.16406 
2212,412,78.12500 ,92.57813 
2213,413,77.73438 ,92.96875 
2214,414,78.90625 ,91.21094 
2215,415,83.78906 ,93.55469 
2216,416,82.81250 ,91.40625 
2217,417,82.42188 ,89.64844 
2218,418,81.05469 ,93.35938 
2219,419,79.88281 ,95.31250 
2220,420,82.61719 ,92.38281 
2221,421,81.83594 ,91.99219 
2222,422,82.42188 ,93.55469 
2223,423,81.25000 ,94.33594 
2224,424,80.46875 ,96.48438 
2225,425,78.51563 ,96.09375 
2226,426,80.07813 ,92.18750 
2227,427,82.03125 ,92.77344 
2228,428,78.32031 ,92.38281 
2229,429,78.32031 ,93.35938 
2230,430,78.51563 ,91.79688 
2231,431,78.71094 ,92.38281 
2232,432,77.73438 ,91.79688 
2233,433,77.73438 ,90.23438 
2234,434,78.90625 ,90.62500 
2235,435,80.85938 ,91.21094 
2236,436,78.12500 ,91.21094 
2237,437,78.71094 ,91.99219 
2238,438,80.27344 ,92.96875 
2239,439,83.00781 ,92.96875 
2240,440,82.03125 ,92.18750 
2241,441,78.32031 ,93.16406 
2242,442,77.92969 ,91.60156 
2243,443,81.25000 ,93.94531 
2244,444,82.22656 ,92.57813 
2245,445,82.22656 ,91.40625 
2246,446,77.53906 ,88.67188 
2247,447,78.90625 ,91.01563 
2248,448,81.64063 ,93.16406 
2249,449,81.05469 ,92.77344 
2250,450,78.90625 ,91.60156 
2251,451,79.68750 ,90.23438 
2252,452,80.85938 ,91.40625 
2253,453,81.05469 ,91.01563 
2254,454,80.66406 ,92.38281 
2255,455,79.29688 ,90.62500 
2256,456,79.88281 ,90.23438 
2257,457,81.44531 ,92.38281 
2258,458,80.07813 ,91.40625 
2259,459,78.12500 ,92.18750 
2260,460,80.46875 ,88.67188 
2261,461,78.51563 ,92.96875 
2262,462,76.36719 ,93.55469 
2263,463,81.25000 ,91.21094 
2264,464,76.95313 ,93.16406 
2265,465,76.95313 ,93.55469 
2266,466,78.51563 ,91.60156 
2267,467,81.25000 ,91.60156 
2268,468,81.83594 ,89.45313 
2269,469,79.68750 ,91.60156 
2270,470,76.75781 ,90.82031 
2271,471,76.95313 ,88.47656 
2272,472,79.88281 ,90.23438 
2273,473,79.68750 ,91.01563 
2274,474,79.49219 ,87.69531 
2275,475,81.05469 ,91.01563 
2276,476,80.07813 ,92.96875 
2277,477,76.17188 ,91.01563 
2278,478,82.61719 ,91.60156 
2279,479,78.12500 ,91.60156 
2280,480,78.51563 ,92.57813 
2281,481,79.88281 ,94.92188 
2282,482,80.27344 ,92.18750 
2283,483,79.68750 ,92.18750 
2284,484,77.14844 ,93.35938 
2285,485,76.17188 ,92.18750 
2286,486,77.34375 ,93.94531 
2287,487,76.75781 ,92.57813 
2288,488,75.00000 ,92.77344 
2289,489,77.14844 ,92.57813 
2290,490,76.75781 ,91.60156 
2291,491,78.12500 ,90.82031 
2292,492,80.46875 ,91.40625 
2293,493,79.49219 ,92.18750 
2294,494,76.17188 ,91.01563 
2295,495,80.27344 ,91.79688 
2296,496,76.56250 ,91.01563 
2297,497,75.39063 ,90.82031 
2298,498,79.68750 ,90.42969 
2299,499,82.42188 ,90.23438 
2300,500,75.97656 ,93.16406 
2301,501,75.58594 ,91.79688 
2302,502,75.58594 ,88.08594 
2303,503,78.51563 ,89.06250 
2304,504,83.39844 ,89.25781 
2305,505,82.61719 ,88.86719 
2306,506,76.17188 ,87.50000 
2307,507,74.02344 ,87.50000 
2308,508,76.75781 ,88.08594 
2309,509,79.88281 ,90.62500 
2310,510,81.25000 ,88.86719 
2311,511,81.44531 ,90.23438 
2312,512,77.34375 ,90.62500 
2313,513,76.95313 ,90.03906 
2314,514,76.75781 ,89.84375 
2315,515,75.39063 ,90.03906 
2316,516,75.19531 ,89.45313 
2317,517,77.73438 ,90.62500 
2318,518,79.49219 ,88.67188 
2319,519,80.85938 ,87.30469 
2320,520,78.90625 ,89.06250 
2321,521,80.66406 ,92.18750 
2322,522,75.58594 ,93.75000 
2323,523,78.32031 ,90.03906 
2324,524,80.46875 ,85.93750 
2325,525,78.51563 ,89.45313 
2326,526,73.82813 ,90.82031 
2327,527,77.14844 ,90.62500 
2328,528,79.10156 ,91.79688 
2329,529,76.75781 ,90.82031 
2330,530,78.51563 ,89.64844 
2331,531,76.75781 ,87.89063 
2332,532,77.14844 ,89.06250 
2333,533,76.56250 ,89.45313 
2334,534,79.49219 ,88.28125 
2335,535,77.92969 ,89.84375 
2336,536,78.32031 ,88.28125 
2337,537,81.25000 ,88.86719 
2338,538,76.95313 ,86.32813 
2339,539,80.85938 ,89.84375 
2340,540,76.75781 ,90.42969 
2341,541,80.27344 ,90.03906 
2342,542,80.46875 ,90.23438 
2343,543,79.68750 ,89.45313 
2344,544,80.85938 ,87.89063 
2345,545,80.46875 ,90.62500 
2346,546,79.10156 ,92.38281 
2347,547,77.34375 ,92.77344 
2348,548,75.19531 ,85.15625 
2349,549,77.34375 ,88.28125 
2350,550,76.75781 ,91.01563 
